Network,Alpha2code,Region,City
188.249.243.0/24,SA,SA-01,Riyadh
188.249.244.0/24,SA,SA-01,Riyadh
188.249.245.0/24,SA,SA-01,Riyadh
188.249.246.0/24,SA,SA-01,Riyadh
188.249.247.0/24,SA,SA-01,Riyadh
188.249.248.0/24,SA,SA-01,Riyadh
188.249.249.0/24,SA,SA-01,Riyadh
188.249.250.0/24,SA,SA-01,Riyadh
188.249.251.0/24,SA,SA-01,Riyadh
188.249.252.0/24,SA,SA-01,Riyadh
188.249.253.0/24,SA,SA-01,Riyadh
188.249.254.0/24,SA,SA-01,Riyadh
188.249.255.0/24,SA,SA-01,Riyadh
188.249.120.0/24,SA,SA-02,Western
188.249.121.0/24,SA,SA-02,Western
188.249.122.0/24,SA,SA-02,Western
188.249.123.0/24,SA,SA-02,Western
188.249.124.0/24,SA,SA-02,Western
188.249.125.0/24,SA,SA-02,Western
94.77.240.0/24,SA,SA-02,Western
94.77.241.0/24,SA,SA-02,Western
94.77.242.0/24,SA,SA-02,Western
94.77.243.0/24,SA,SA-02,Western
94.77.244.0/24,SA,SA-02,Western
94.77.245.0/24,SA,SA-02,Western
188.249.100.0/24,SA,SA-02,Western
188.249.101.0/24,SA,SA-02,Western
188.249.102.0/24,SA,SA-02,Western
188.249.115.0/24,SA,SA-02,Western
188.249.128.0/24,SA,SA-02,Western
188.249.129.0/24,SA,SA-02,Western
188.249.130.0/24,SA,SA-02,Western
188.249.131.0/24,SA,SA-02,Western
188.249.132.0/24,SA,SA-02,Western
188.249.133.0/24,SA,SA-02,Western
188.249.134.0/24,SA,SA-02,Western
188.249.135.0/24,SA,SA-02,Western
188.249.136.0/24,SA,SA-02,Western
188.249.137.0/24,SA,SA-02,Western
188.249.138.0/24,SA,SA-02,Western
188.249.139.0/24,SA,SA-02,Western
188.249.140.0/24,SA,SA-02,Western
188.249.141.0/24,SA,SA-02,Western
188.249.142.0/24,SA,SA-02,Western
188.249.143.0/24,SA,SA-02,Western
188.249.144.0/24,SA,SA-02,Western
188.249.145.0/24,SA,SA-02,Western
188.249.146.0/24,SA,SA-02,Western
188.249.147.0/24,SA,SA-02,Western
188.249.148.0/24,SA,SA-02,Western
188.249.149.0/24,SA,SA-02,Western
188.249.150.0/24,SA,SA-02,Western
188.249.151.0/24,SA,SA-02,Western
188.249.152.0/24,SA,SA-02,Western
188.249.153.0/24,SA,SA-02,Western
188.249.154.0/24,SA,SA-02,Western
188.249.155.0/24,SA,SA-02,Western
188.249.156.0/24,SA,SA-02,Western
188.249.157.0/24,SA,SA-02,Western
188.249.158.0/24,SA,SA-02,Western
188.249.159.0/24,SA,SA-02,Western
188.249.224.0/24,SA,SA-02,Western
188.249.225.0/24,SA,SA-02,Western
188.249.226.0/24,SA,SA-02,Western
188.249.227.0/24,SA,SA-02,Western
188.249.228.0/24,SA,SA-02,Western
188.249.229.0/24,SA,SA-02,Western
188.249.230.0/24,SA,SA-02,Western
188.249.231.0/24,SA,SA-02,Western
188.249.232.0/24,SA,SA-02,Western
188.249.233.0/24,SA,SA-02,Western
188.249.234.0/24,SA,SA-02,Western
188.249.235.0/24,SA,SA-02,Western
188.249.236.0/24,SA,SA-02,Western
188.249.237.0/24,SA,SA-02,Western
188.249.238.0/24,SA,SA-02,Western
188.249.239.0/24,SA,SA-02,Western
188.249.240.0/24,SA,SA-02,Western
188.249.241.0/24,SA,SA-02,Western
188.249.242.0/24,SA,SA-02,Western
188.249.243.0/24,SA,SA-02,Western
188.249.244.0/24,SA,SA-02,Western
188.249.245.0/24,SA,SA-02,Western
188.249.246.0/24,SA,SA-02,Western
188.249.247.0/24,SA,SA-02,Western
188.249.248.0/24,SA,SA-02,Western
188.249.249.0/24,SA,SA-02,Western
188.249.250.0/24,SA,SA-02,Western
188.249.251.0/24,SA,SA-02,Western
188.249.252.0/24,SA,SA-02,Western
188.249.253.0/24,SA,SA-02,Western
188.249.254.0/24,SA,SA-02,Western
188.249.255.0/24,SA,SA-02,Western
188.249.32.0/24,SA,SA-02,Western
188.249.33.0/24,SA,SA-02,Western
188.249.34.0/24,SA,SA-02,Western
188.249.35.0/24,SA,SA-02,Western
188.249.36.0/24,SA,SA-02,Western
188.249.37.0/24,SA,SA-02,Western
188.249.38.0/24,SA,SA-02,Western
188.249.39.0/24,SA,SA-02,Western
188.249.40.0/24,SA,SA-02,Western
188.249.41.0/24,SA,SA-02,Western
188.249.42.0/24,SA,SA-02,Western
188.249.43.0/24,SA,SA-02,Western
188.249.44.0/24,SA,SA-02,Western
